x y
1382.8345116367057 98.24119629593554
1413.8372971969698 99.11123311681894
1504.852978020802 197.78546540471373
1499.626031106929 191.62216219889606
597.0201328470046 996.6961537545932
602.8802216911953 994.6519942961468
1401.2607773694149 102.03162234562254
1389.6352784056332 108.98166761014846
1501.4004166025868 201.8159582620529
614.6877937807038 1000.1148796620055
1489.4525502074134 199.3063186024433
598.0043007366396 1001.4217202395122
1393.1736480052896 96.6713282923613
1500.019085639341 225.73515733285825
1403.931374107295 87.85565648629944
614.8262197235241 1012.4510284050574
1485.8267944363997 201.00232392257425
1390.7876044046875 98.79474643684406
597.9643427932377 1010.3504518897846
1494.3888308484718 204.94486841552467
1513.4987511525226 208.0237466171194
597.0158878771396 987.1642098892036
605.7106346627954 1008.730406999007
1493.909389529484 203.62992196255394
1494.2800803761963 206.97586024419323
1393.0443162796676 122.9340813637524
1414.2381612821296 87.37844786973017
1406.7381587222983 106.77136717764108
622.2057958674526 1018.4882039622837
598.3158285500651 1002.7146415221132
